,class,train,test,validation,Rename,database
0,alarm_clock,135.0,32.0,8.0,clock,OID
1,backpack,715.0,74.0,24.0,,OID
2,ball,3480.0,654.0,205.0,,OID
3,balloon,3262.0,121.0,51.0,,OID
4,bathroom_cabinet,324.0,34.0,14.0,cupboard,OID
5,bathtub,533.0,69.0,17.0,,OID
6,bed,2933.0,301.0,103.0,,OID
7,blender,149.0,32.0,8.0,,OID
8,book,7894.0,314.0,95.0,,OID
9,bookcase,3388.0,236.0,78.0,,OID
10,bottle,11456.0,621.0,207.0,,OID
11,bowl,1464.0,147.0,49.0,,OID
12,box,2212.0,227.0,77.0,,OID
13,cabinetry,3001.0,366.0,145.0,cupboard,OID
14,camera,5037.0,342.0,142.0,,OID
15,candle,1220.0,105.0,55.0,,OID
16,ceiling_fan,431.0,36.0,11.0,fan,OID
17,chair,25504.0,944.0,311.0,,OID
18,chest_of_drawers,1151.0,215.0,82.0,dresser,OID
19,christmas_tree,3074.0,55.0,20.0,christmas tree,OID
20,clock,916.0,51.0,21.0,,OID
21,closet,381.0,65.0,17.0,cupboard,OID
22,coffee_cup,3793.0,474.0,155.0,cup,OID
23,coffee_table,2840.0,112.0,45.0,table,OID
24,coffeemaker,233.0,55.0,20.0,,OID
25,coin,1224.0,156.0,55.0,,OID
26,computer_keyboard,3331.0,224.0,63.0,keyboard,OID
27,computer_monitor,3339.0,214.0,73.0,screen,OID
28,computer_mouse,622.0,81.0,19.0,mouse,OID
29,couch,3321.0,125.0,49.0,,OID
30,cupboard,872.0,265.0,103.0,,OID
31,curtain,2616.0,155.0,47.0,,OID
32,cutting_board,196.0,24.0,10.0,cutting board,OID
33,desk,9472.0,405.0,133.0,table,OID
34,digital_clock,169.0,41.0,8.0,clock,OID
35,doll,3383.0,163.0,67.0,,OID
36,door,13382.0,546.0,204.0,,OID
37,drawer,1623.0,257.0,99.0,,OID
38,fireplace,685.0,73.0,41.0,,OID
39,flag,8402.0,215.0,74.0,,OID
40,flower,62716.0,6949.0,2336.0,,OID
41,flowerpot,7352.0,495.0,184.0,,OID
42,fork,1034.0,117.0,37.0,,OID
43,frying_pan,301.0,20.0,11.0,frying pan,OID
44,gas_stove,473.0,59.0,23.0,stove,OID
45,glasses,41945.0,819.0,258.0,,OID
46,guitar,17671.0,326.0,104.0,,OID
47,handbag,1901.0,198.0,61.0,bag,OID
48,headphones,1064.0,95.0,39.0,,OID
49,houseplant,8932.0,801.0,296.0,plant,OID
50,infant_bed,426.0,74.0,24.0,bed,OID
51,jug,395.0,79.0,26.0,cup,OID
52,kettle,464.0,100.0,30.0,,OID
53,kitchen_&_dining_room_table,1966.0,112.0,32.0,table,OID
54,kitchen_knife,274.0,76.0,25.0,knife,OID
55,knife,610.0,167.0,59.0,,OID
56,ladder,754.0,72.0,21.0,,OID
57,lamp,1565.0,130.0,40.0,,OID
58,laptop,5528.0,197.0,52.0,,OID
59,light_bulb,427.0,49.0,17.0,Lightbulb,OID
60,luggage_and_bags,953.0,121.0,37.0,bag,OID
61,mechanical_fan,589.0,68.0,25.0,fan,OID
62,microphone,20393.0,265.0,112.0,,OID
63,microwave_oven,432.0,68.0,25.0,microwave,OID
64,mirror,1146.0,103.0,31.0,,OID
65,mixer,181.0,40.0,11.0,,OID
66,mixing_bowl,597.0,59.0,17.0,bowl,OID
67,mobile_phone,4312.0,360.0,105.0,,OID
68,mug,1598.0,148.0,41.0,cup,OID
69,nightstand,773.0,140.0,45.0,lamp,OID
70,oven,509.0,77.0,35.0,,OID
71,pen,1011.0,101.0,44.0,,OID
72,person,248384.0,21688.0,7144.0,,OID
73,piano,1246.0,267.0,95.0,,OID
74,picture_frame,5536.0,143.0,45.0,picture,OID
75,pillow,1249.0,189.0,47.0,,OID
76,pitcher_(container),288.0,59.0,20.0,pitcher,OID
77,plant,72363.0,11531.0,3838.0,,OID
78,plastic_bag,517.0,20.0,9.0,,OID
79,plate,2023.0,200.0,59.0,,OID
80,poster,16152.0,575.0,199.0,picture,OID
81,refrigerator,549.0,110.0,25.0,,OID
82,remote_control,192.0,20.0,6.0,remote control,OID
83,salt_and_pepper_shakers,96.0,3.0,2.0,salt shaker,OID
84,saucer,1582.0,260.0,92.0,,OID
85,saxophone,854.0,102.0,33.0,,OID
86,scissors,292.0,6.0,1.0,,OID
87,sculpture,18107.0,554.0,190.0,,OID
88,serving_tray,106.0,25.0,7.0,tray,OID
89,sewing_machine,362.0,75.0,24.0,sewing machine,OID
90,shelf,6011.0,592.0,194.0,,OID
91,shower,206.0,29.0,8.0,,OID
92,sink,1442.0,117.0,49.0,,OID
93,skull,1501.0,100.0,27.0,,OID
94,sofa_bed,1132.0,125.0,47.0,couch,OID
95,spatula,38.0,2.0,1.0,,OID
96,spoon,1044.0,155.0,52.0,,OID
97,stairs,4533.0,131.0,36.0,,OID
