,class,train,test,validation,Rename,database
0,alpaca,452.0,72.0,27.0,,OID
1,ant,381.0,47.0,12.0,,OID
2,antelope,848.0,282.0,78.0,,OID
3,bat_(animal),389.0,29.0,6.0,bat,OID
4,bear,353.0,59.0,21.0,,OID
5,bee,2856.0,235.0,73.0,,OID
6,beehive,430.0,53.0,16.0,,OID
7,beetle,1878.0,138.0,47.0,,OID
8,bird,18525.0,1871.0,593.0,,OID
9,brown_bear,492.0,71.0,15.0,bear,OID
10,bull,1074.0,224.0,73.0,,OID
11,butterfly,4937.0,237.0,65.0,,OID
12,camel,762.0,56.0,25.0,,OID
13,canary,231.0,59.0,30.0,bird,OID
14,cat,12516.0,1012.0,345.0,,OID
15,caterpillar,696.0,96.0,22.0,,OID
16,cattle,2916.0,388.0,134.0,cow,OID
17,centipede,235.0,55.0,14.0,,OID
18,cheetah,568.0,80.0,30.0,,OID
19,chicken,1421.0,176.0,49.0,,OID
20,crab,740.0,157.0,66.0,,OID
21,crocodile,719.0,96.0,39.0,,OID
22,deer,2093.0,337.0,92.0,,OID
23,dinosaur,1101.0,68.0,29.0,,OID
24,dog,20607.0,4835.0,1586.0,,OID
25,dolphin,886.0,139.0,61.0,,OID
26,dragonfly,1360.0,70.0,17.0,,OID
27,duck,4669.0,199.0,68.0,,OID
28,eagle,1484.0,229.0,53.0,,OID
29,elephant,1732.0,137.0,33.0,,OID
30,falcon,1489.0,191.0,50.0,,OID
31,fish,5434.0,972.0,356.0,,OID
32,fox,484.0,103.0,41.0,,OID
33,frog,1370.0,111.0,39.0,,OID
34,giraffe,920.0,49.0,15.0,,OID
35,goat,1112.0,183.0,61.0,,OID
36,goose,2746.0,155.0,60.0,,OID
37,hamster,454.0,159.0,30.0,,OID
38,harbor_seal,875.0,116.0,43.0,seal,OID
39,hedgehog,231.0,103.0,24.0,,OID
40,hippopotamus,388.0,39.0,10.0,,OID
41,horse,7073.0,811.0,277.0,,OID
42,insect,6080.0,720.0,198.0,,OID
43,jaguar_(animal),509.0,90.0,35.0,,OID
44,jellyfish,729.0,105.0,38.0,,OID
45,kangaroo,458.0,65.0,21.0,,OID
46,koala,368.0,45.0,14.0,,OID
47,ladybug,565.0,53.0,23.0,,OID
48,leopard,694.0,118.0,42.0,,OID
49,lion,1190.0,138.0,57.0,,OID
50,lizard,1838.0,318.0,103.0,,OID
51,lobster,405.0,104.0,40.0,,OID
52,magpie,123.0,51.0,22.0,,OID
53,monkey,2143.0,428.0,155.0,,OID
54,mouse,698.0,210.0,45.0,,OID
55,mule,584.0,142.0,48.0,,OID
56,ostrich,364.0,98.0,26.0,,OID
57,otter,487.0,142.0,36.0,,OID
58,owl,1362.0,88.0,30.0,,OID
59,oyster,495.0,88.0,41.0,,OID
60,panda,574.0,44.0,17.0,,OID
61,parrot,1414.0,238.0,76.0,,OID
62,penguin,894.0,97.0,42.0,,OID
63,pig,811.0,135.0,51.0,,OID
64,polar_bear,490.0,83.0,29.0,polar bear,OID
65,porcupine,203.0,101.0,24.0,hedgehog,OID
66,rabbit,1179.0,215.0,64.0,,OID
67,raccoon,310.0,77.0,25.0,,OID
68,raven,429.0,109.0,35.0,,OID
69,red_panda,328.0,54.0,12.0,panda,OID
70,rhinoceros,526.0,48.0,17.0,,OID
71,scorpion,157.0,48.0,17.0,insect,OID
72,sea_lion,936.0,93.0,41.0,,OID
73,sea_turtle,745.0,130.0,32.0,turtle,OID
74,seahorse,230.0,52.0,19.0,,OID
75,shark,496.0,146.0,57.0,,OID
76,sheep,1188.0,179.0,62.0,,OID
77,shellfish,397.0,140.0,46.0,,OID
78,shrimp,617.0,202.0,76.0,,OID
79,snail,615.0,129.0,34.0,,OID
80,snake,1188.0,234.0,61.0,,OID
81,sparrow,1157.0,168.0,68.0,,OID
82,spider,1702.0,225.0,62.0,,OID
83,squirrel,1810.0,114.0,44.0,,OID
84,starfish,436.0,72.0,21.0,,OID
85,swan,1365.0,98.0,28.0,,OID
86,tiger,1039.0,48.0,19.0,,OID
87,tortoise,1324.0,145.0,40.0,,OID
88,turkey,367.0,60.0,19.0,,OID
89,whale,713.0,147.0,52.0,,OID
90,woodpecker,425.0,59.0,25.0,,OID
91,zebra,621.0,64.0,26.0,,OID
92,elephant,2115.0,,,,LVIS
93,giraffe,2113.0,,,,LVIS
94,zebra,1902.0,,,,LVIS
95,cow,1611.0,,,,LVIS
96,sheep,1075.0,,,,LVIS
97,bear,735.0,,,,LVIS
98,towel,719.0,,,,LVIS
99,duck,210.0,,,,LVIS
100,polar bear,175.0,,,,LVIS
